temp,Year,Month,Country
13,1991,1,FRA 
13,1991,2,FRA 
18,1991,3,FRA 
21,1991,4,FRA 
24,1991,5,FRA 
30,1991,6,FRA 
32,1991,7,FRA 
32,1991,8,FRA 
23,1991,9,FRA 
23,1991,10,FRA 
17,1991,11,FRA 
12,1991,12,FRA 
13,1992,1,FRA 
13,1992,2,FRA 
17,1992,3,FRA 
21,1992,4,FRA 
25,1992,5,FRA 
30,1992,6,FRA 
31,1992,7,FRA 
32,1992,8,FRA 
29,1992,9,FRA 
23,1992,10,FRA 
16,1992,11,FRA 
13,1992,12,FRA 
10,1993,1,FRA 
13,1993,2,FRA 
13,1993,3,FRA 
22,1993,4,FRA 
26,1993,5,FRA 
32,1993,6,FRA 
32,1993,7,FRA 
32,1993,8,FRA 
29,1993,9,FRA 
24,1993,10,FRA 
13,1993,11,FRA 
13,1993,12,FRA 
11,1994,1,FRA 
14,1994,2,FRA 
19,1994,3,FRA 
21,1994,4,FRA 
28,1994,5,FRA 
31,1994,6,FRA 
33,1994,7,FRA 
33,1994,8,FRA 
28,1994,9,FRA 
23,1994,10,FRA 
18,1994,11,FRA 
13,1994,12,FRA 
13,1995,1,FRA 
15,1995,2,FRA 
17,1995,3,FRA 
21,1995,4,FRA 
28,1995,5,FRA 
31,1995,6,FRA 
33,1995,7,FRA 
32,1995,8,FRA 
33,1995,9,FRA 
24,1995,10,FRA 
18,1995,11,FRA 
15,1995,12,FRA 
14,1996,1,FRA 
14,1996,2,FRA 
18,1996,3,FRA 
22,1996,4,FRA 
27,1996,5,FRA 
30,1996,6,FRA 
32,1996,7,FRA 
32,1996,8,FRA 
29,1996,9,FRA 
23,1996,10,FRA 
17,1996,11,FRA 
14,1996,12,FRA 
13,1997,1,FRA 
15,1997,2,FRA 
17,1997,3,FRA 
21,1997,4,FRA 
27,1997,5,FRA 
32,1997,6,FRA 
33,1997,7,FRA 
32,1997,8,FRA 
29,1997,9,FRA 
23,1997,10,FRA 
18,1997,11,FRA 
14,1997,12,FRA 
13,1998,1,FRA 
15,1998,2,FRA 
18,1998,3,FRA 
23,1998,4,FRA 
24,1998,5,FRA 
32,1998,6,FRA 
34,1998,7,FRA 
32,1998,8,FRA 
30,1998,9,FRA 
23,1998,10,FRA 
15,1998,11,FRA 
12,1998,12,FRA 
13,1999,1,FRA 
12,1999,2,FRA 
18,1999,3,FRA 
23,1999,4,FRA 
28,1999,5,FRA 
31,1999,6,FRA 
33,1999,7,FRA 
32,1999,8,FRA 
30,1999,9,FRA 
25,1999,10,FRA 
17,1999,11,FRA 
13,1999,12,FRA 
11,2000,1,FRA 
13,2000,2,FRA 
19,2000,3,FRA 
24,2000,4,FRA 
28,2000,5,FRA 
31,2000,6,FRA 
33,2000,7,FRA 
32,2000,8,FRA 
29,2000,9,FRA 
22,2000,10,FRA 
18,2000,11,FRA 
14,2000,12,FRA 
12,2001,1,FRA 
16,2001,2,FRA 
21,2001,3,FRA 
22,2001,4,FRA 
27,2001,5,FRA 
32,2001,6,FRA 
33,2001,7,FRA 
32,2001,8,FRA 
29,2001,9,FRA 
25,2001,10,FRA 
18,2001,11,FRA 
14,2001,12,FRA 
12,2002,1,FRA 
14,2002,2,FRA 
19,2002,3,FRA 
22,2002,4,FRA 
26,2002,5,FRA 
33,2002,6,FRA 
33,2002,7,FRA 
32,2002,8,FRA 
30,2002,9,FRA 
